Coorte,Anno,Regione,Poliomielite,Difterite,Tetano,Pertosse,Epatite B,HIB,Morbillo,Parotite,Rosolia,Varicella,Meningococco C coniugato,Pneumococco Coniugato
2018,2020,Friuli Venezia Giulia,"93,63","93,63","93,64","93,63","93,34","93,35","92,27","92,22","92,26","90,79","84,63","87,52"
2018,2020,Liguria,"93,3","93,32","93,32","93,3","93,27","93,19","90,41","90,37","75,99","87,73","86,65","90,68"
2018,2020,Emilia Romagna,"95,52","95,52","95,51","95,51","95,45","95,23","94,27","94,17","94,25","91,37","91,21","92,91"
2018,2020,Toscana,"96,87","96,89","96,88","96,88","96,8","97,11","95,67","95,61","95,66","94,08","90,1","91,48"
2018,2020,Umbria,"95,54","95,77","95,77","95,75","95,9","95,83","94,87","94,7","94,82","90,66","86,96","93,66"
2018,2020,Marche,"93,82","93,6","93,62","93,6","93,64","93,45","92,66","92,62","92,62","89,98","84,54","89,78"
2018,2020,Lazio,"95,96","96,02","96,02","95,9","95,94","96,45","95,21","95,21","95,21","95,21","87,3","86,62"
2018,2020,Abruzzo,"93,09","93,09","93,09","93,09","93,09","92,96","62,16","62,16","62,16","55,59","42,57","88,53"
2018,2020,Molise,"96,67","96,67","96,67","96,67","96,67","96,67","91,95","91,95","91,95","86,53","1,61","96,14"
2018,2020,Campania,"95,09","95,09","95,09","95,09","95,09","95,09","93,52","93,51","93,52","88,48","67,31","88,99"
2018,2020,Puglia,"93,72","93,73","93,73","93,73","93,73","93,67","93,29","93,28","93,29","92,63","0,3","91,48"
2018,2020,Basilicata,"92,94","92,94","92,94","92,94","92,94","92,94","90,3","90,3","90,3","89,37","32,04","91,31"
2018,2020,Calabria,"91,69","91,69","91,69","91,69","91,69","91,69","88,97","88,98","88,99","88,91","87,87","90,81"
2018,2020,Sicilia,"89,19","89,19","89,19","89,19","89,18","89,15","90,82","90,81","90,82","88,68","5,22","85,5"
2018,2020,Sardegna,"95,48","95,48","95,48","95,48","95,48","95,48","93,92","93,92","93,92","91,59","47,8","94,37"
2018,2020,Italia,"94,02","93,92","94,04","94,03","94,01",94,"92,7","92,47","92,21","90,28","70,96","90,58"
2017,2019,Piemonte,"95,96","95,99",96,"95,98","95,9","95,81","95,56","95,52","95,55","91,77","91,2","92,71"
2017,2019,Valle d'Aosta,"93,24","93,24","93,24","93,24","93,01","93,01","91,54","91,43","91,54","80,05","87,82","88,5"
2017,2019,Lombardia,"95,88","95,83","95,83","95,82","95,73","95,68","95,56","95,48","95,52","94,07","93,25","95,89"
2017,2019,Alto Adige,"81,18","81,14","81,16","81,13","81,09","81,13","75,53","75,48","75,51","73,24","68,07","76,44"
2017,2019,Trentino,"94,93","94,93","94,93","94,93","94,89","94,87","95,48","95,44","95,46","90,97","90,5","91,39"
2017,2019,Veneto,"95,19","95,17","95,2","95,17",95,"95,01","95,12","95,04","95,11","93,72","92,26","89,67"
2017,2019,Friuli Venezia Giulia,"93,36","93,36","93,39","93,36","92,96","92,84","92,49","92,49","92,49","90,64","88,15","87,59"
2017,2019,Liguria,"95,63","95,63","95,63","95,63","95,5","95,31","93,15","92,95","92,96","89,93","89,57","93,03"
2017,2019,Emilia Romagna,"95,83","95,82","95,85","95,82","95,83","95,52","95,21","95,05","95,15","91,04","92,04","93,38"
2017,2019,Toscana,"96,76","96,77","96,79","96,77","96,55","97,2","96,11","96,04","96,08","94,59","91,05","92,34"
2017,2019,Umbria,"96,12","96,12","96,12","96,12","96,2","96,09","95,23","95,13","95,21","88,59","87,58","93,87"
2017,2019,Marche,"94,75","94,53","94,53","94,54","94,49","94,15","93,75","93,68","93,69","90,21","83,29","90,87"
2017,2019,Lazio,"95,58","95,55","95,54","95,54","95,51","95,46","95,72","95,7","95,71",91,"73,58","92,08"
2017,2019,Abruzzo,"97,47","97,48","97,48","97,48","97,42","97,46","95,05","95,04","95,04","87,87","55,72","93,01"
2017,2019,Molise,"97,08","97,08","97,08","97,08","97,27","97,08","93,39","93,39","93,39","89,42","53,9","96,6"
2017,2019,Campania,"95,05","95,05","95,05","95,05","95,03","95,02","94,67","94,67","94,67","86,96","66,65","89,97"
2017,2019,Puglia,"94,54","94,56","94,56","94,56","94,55","94,45","94,38","94,38","94,39","93,35","84,38","91,88"
2017,2019,Basilicata,"96,56","96,56","96,56","96,56","96,56","96,56","92,57","92,57","92,57","90,43","64,53","95,82"
2017,2019,Calabria,"96,04","96,04","96,04","96,04","96,04","96,04","93,08","93,08","93,08","69,68","81,58","94,32"
2017,2019,Sicilia,"91,14","91,13","91,13","91,13","91,15","91,11","92,2","92,19","92,2","90,28","33,26","87,92"
2017,2019,Sardegna,"95,21","95,21","95,2","95,21","95,21","95,16","93,61","93,56","93,6","89,35","84,21","93,57"
2017,2019,Italia,"95,01","94,99",95,"94,99","94,93","94,89","94,49","94,44","94,47","90,5","79,44",92
2016,2018,Piemonte,"95,79","95,84","95,86","95,83","95,71","95,43","94,67","94,67","94,67","47,37","92,35","93,4"
2016,2018,Valle d'Aosta,"94,36","94,15","94,46","94,15","93,73","93,94","91,43","91,12","91,43","37,93","88,92","92,37"
2016,2018,Lombardia,"95,31","95,25","95,27","95,25","95,11",95,"94,16","94,06","94,11","73,01","92,37","92,8"
2016,2018,Alto Adige,"83,33","83,33","83,31","83,33","83,16","83,09","70,84","70,79","70,77","55,49","65,59","79,48"
2016,2018,Trentino,"94,62","94,62","94,67","94,62","94,41","94,26","94,3","94,24","94,28","74,33","89,76","92,01"
2016,2018,Veneto,"94,77","94,79","94,86","94,79","94,45","94,82","93,49","93,39","93,5","89,56","91,99","87,2"
2016,2018,Friuli Venezia Giulia,"93,13","93,12","93,17","93,11","92,54","92,51","91,24","91,24","91,24","84,84","87,5","87,07"
2016,2018,Liguria,"97,24","97,26","97,27","97,23","97,15",97,"94,04","94,04","94,04","76,61","89,74","94,91"
2016,2018,Emilia Romagna,"95,73","95,68","95,75","95,67","95,5","95,17","93,67","93,47","93,59","78,22","92,09","93,84"
